Latitude,Longitude,Wave Latitude,Wave Longitude,Bearing Angle,Distance (km)
13.556223,80.027504,13.557222999999999,80.028504,68.43085678285263,0.18081764121372335
13.558684,80.027633,13.559683999999999,80.028633,2.917089357702764,0.2740057686266047
13.559227,80.026646,13.560227,80.027646,299.50671135236263,0.12259072854675707
13.558851,80.025272,13.559851,80.026272,254.27828874775776,0.1542960922498179
13.557892,80.024757,13.558892,80.025757,207.56695592793722,0.12029262186694555
13.556807,80.024414,13.557806999999999,80.025414,197.0832981686399,0.1262152519653052
13.555305,80.024028,13.556305,80.025028,194.02718526986098,0.17214805879799197
13.554179,80.024028,13.555178999999999,80.025028,180.0,0.12520548740188672
13.553511,80.024714,13.554511,80.02571400000001,135.04734911732658,0.10495840468250583
13.553261,80.025916,13.554260999999999,80.026916,102.07592978879143,0.13287466240047602
13.553261,80.027461,13.554260999999999,80.02846100000001,89.99981896528584,0.16701206706046615
13.553845,80.029221,13.554845,80.03022100000001,71.15380957717974,0.20103015870539084
13.555305,80.030379,13.556305,80.031379,37.63421314978734,0.20500029115525886
13.557224,80.029778,13.558224,80.030778,343.06674294781317,0.22305370757483006
13.559185,80.028963,13.560184999999999,80.02996300000001,338.00028712983783,0.23517768937428427
13.560437,80.029907,13.561437,80.030907,36.240432011529094,0.1726085118652979
13.560061,80.030551,13.561060999999999,80.03155100000001,120.98866230788383,0.0812036566024707
13.559185,80.031023,13.560184999999999,80.03202300000001,152.35465964834725,0.10996011895241199
13.556724,80.031323,13.557724,80.032323,173.2416662891094,0.2755655026460794
13.553887,80.031066,13.554886999999999,80.032066,185.03281204690393,0.316680916755201
13.552593,80.029564,13.553593,80.030564,228.45293404762242,0.21694531141309004
13.551592,80.029907,13.552591999999999,80.030907,161.57617607494512,0.1173193355469744
13.551967,80.031667,13.552966999999999,80.032667,77.63773245246023,0.1947703095910999
13.553887,80.032568,13.554886999999999,80.033568,24.52252979936958,0.23466132799646774
13.556515,80.032783,13.557514999999999,80.033783,4.547272492168531,0.29314301516793434
13.559102,80.032182,13.560101999999999,80.03318200000001,347.273793366083,0.29490605076472426
13.56223,80.031452,13.563229999999999,80.032452,347.2177653719187,0.35665650941900895
13.561688,80.028362,13.562688,80.029362,259.77221373008183,0.33940557357680534
13.561563,80.026259,13.562562999999999,80.027259,266.5013272285172,0.22774751850035083
13.560937,80.024629,13.561936999999999,80.02562900000001,248.44302270338738,0.18944598705780744
